Sample	Top over-represented sequence	Sum of remaining over-represented sequences
BC1_1	0.0	0.0
BC1_2	0.0	0.0
BC2_1	0.0	0.0
BC2_2	0.14393609397242885	0.0
BC3_1	0.12738008567546194	0.0
BC3_2	0.0	0.0
BC4_1	0.161511676392145	0.22551453780451305
BC4_2	0.1236626012754486	0.0
BC5_1	0.27778369839227174	1.625665411711689
BC5_2	0.1786414708688697	0.8793877174222646
BH1_1	0.10774685663259775	0.0
BH1_2	0.0	0.0
BH2_1	0.20207115826160577	0.4665857679293813
BH2_2	0.14130368552170552	0.0
BH3_1	0.11648971746988895	0.0
BH3_2	0.0	0.0
BH4_1	0.0	0.0
BH4_2	0.0	0.0
BH5_1	0.19462411752291184	0.35558599974121785
BH5_2	0.1237160581639953	0.11236019414238922
BN1_1	0.0	0.0
BN1_2	0.0	0.0
BN2_1	0.14163419697960808	0.0
BN2_2	0.0	0.0
BN3_1	0.0	0.0
BN3_2	0.10473099335143131	0.0
BN5_1	0.0	0.0
BN5_2	0.0	0.0
MC1_1	0.16225027422865404	0.11950856178360977
MC1_2	0.0	0.0
MC2_1	0.17028523192985182	0.11489376052375869
MC2_2	0.10101566607141504	0.0
MC3_1	0.19877993949306175	0.7008710544164399
MC3_2	0.150433997769765	0.34602172469284265
MC4_1	0.1877963114513874	0.457847113657323
MC4_2	0.10721568930555361	0.0
MC5_1	0.1607375057352482	0.2194302062839662
MC5_2	0.0	0.0
MH1_1	0.15601112630150982	0.1036075469583958
MH1_2	0.0	0.0
MH2_1	0.0	0.0
MH2_2	0.0	0.0
MH3_1	0.0	0.0
MH3_2	0.0	0.0
MH4_1	0.0	0.0
MH4_2	0.0	0.0
MH5_1	0.0	0.0
MH5_2	0.0	0.0
MN1_1	0.0	0.0
MN1_2	0.0	0.0
MN2_1	0.12869150345207472	0.0
MN2_2	0.0	0.0
MN3_1	0.0	0.0
MN3_2	0.11527063836163896	0.0
MN4_1	0.0	0.0
MN4_2	0.0	0.0
MN5_1	0.14964718893834597	0.1035934745051231
MN5_2	0.12025416132328719	0.0
OC1_1	0.2357047548957048	0.6304050470905587
OC1_2	0.14696654905115092	0.256048438009406
OC2_1	0.1606386420139901	0.11123767731099257
OC2_2	0.1133950778643278	0.0
OC3_1	0.0	0.0
OC3_2	0.0	0.0
OC4_1	0.20722757456112564	0.6192966733486327
OC4_2	0.16286395340707485	0.2183325757431304
OC5_1	0.0	0.0
OC5_2	0.0	0.0
OH1_1	0.0	0.0
OH1_2	0.0	0.0
OH2_1	0.0	0.0
OH2_2	0.0	0.0
OH3_1	0.0	0.0
OH3_2	0.0	0.0
OH4_1	0.18467406418469318	0.1151308490230441
OH4_2	0.10307505419381835	0.0
OH5_1	0.18335829496914352	0.21613197550059499
OH5_2	0.12410220868601332	0.0
ON1_1	0.191189431464368	0.22276637762658336
ON1_2	0.11253194536439928	0.10100434276172962
ON2_1	0.15310139337988207	0.10497356027789814
ON2_2	0.10236605217189705	0.0
ON3_1	0.21502733621794273	0.44333210849917987
ON3_2	0.13862235911766463	0.0
ON4_1	0.17658467716471404	0.11683706535868504
ON4_2	0.0	0.0
ON5_1	0.0	0.0
ON5_2	0.0	0.0
WC1_1	0.17826514195526216	0.11412468442981516
WC1_2	0.11352702182761991	0.0
WC2_1	0.1426995702742771	0.0
WC2_2	0.0	0.0
WC3_1	0.0	0.0
WC3_2	0.0	0.0
WC4_1	0.0	0.0
WC4_2	0.0	0.0
WC5_1	0.0	0.0
WC5_2	0.0	0.0
WH1_1	0.0	0.0
WH1_2	0.0	0.0
WH2_1	0.0	0.0
WH2_2	0.0	0.0
WH3_1	0.0	0.0
WH3_2	0.0	0.0
WH4_1	0.16341116968614655	0.10463492615377173
WH4_2	0.10085556708142702	0.0
WH5_1	0.22830423794040067	0.34473884813726785
WH5_2	0.12593840043829582	0.10887423243294705
WN1_1	0.13785733596634822	0.0
WN1_2	0.0	0.0
WN2_1	0.0	0.0
WN2_2	0.0	0.0
WN3_1	0.0	0.0
WN3_2	0.0	0.0
WN4_1	0.0	0.0
WN4_2	0.0	0.0
WN5_1	0.10619322073234905	0.0
WN5_2	0.0	0.0
