Sample	mRNA	tRNA	lnc_RNA	snoRNA	snRNA	pre_miRNA	SRP_RNA	rRNA	ncRNA	RNase_MRP_RNA	pseudogenic_transcript
BC1	23231740.0	803.0	50443.0	593.0	394.0	44.0	273.0	48890.0	1445.0	5.0	33.0
BC2	22292949.0	718.0	57229.0	616.0	394.0	75.0	268.0	99002.0	875.0	1.0	19.0
BC3	20434800.0	937.0	48204.0	692.0	257.0	50.0	765.0	204246.0	448.0	4.0	24.0
BC4	16655618.0	895.0	56841.0	728.0	248.0	71.0	1193.0	279156.0	706.0	11.0	17.0
BC5	11113166.0	644.0	69628.0	875.0	376.0	13.0	2212.0	328960.0	710.0	18.0	29.0
BH1	15641212.0	643.0	88971.0	1268.0	281.0	92.0	798.0	163698.0	183.0	22.0	23.0
BH2	18891833.0	696.0	78209.0	1959.0	635.0	102.0	1894.0	431068.0	312.0	24.0	32.0
BH3	22872576.0	1122.0	107837.0	2603.0	777.0	121.0	679.0	177255.0	144.0	49.0	16.0
BH4	22892716.0	807.0	114726.0	2784.0	601.0	79.0	306.0	63479.0	162.0	42.0	17.0
BH5	18350415.0	905.0	93792.0	2075.0	442.0	79.0	1777.0	344039.0	159.0	31.0	37.0
BN1	28606135.0	733.0	67601.0	2485.0	277.0	264.0	301.0	55259.0	1693.0	6.0	10.0
BN2	25210088.0	687.0	74040.0	2804.0	273.0	217.0	1703.0	264792.0	1772.0	23.0	17.0
BN3	21701283.0	439.0	44502.0	1377.0	296.0	287.0	859.0	110751.0	1376.0	14.0	12.0
BN5	23036089.0	662.0	48804.0	1909.0	183.0	241.0	452.0	105183.0	751.0	11.0	11.0
MC1	16062180.0	569.0	20813.0	319.0	313.0	20.0	1196.0	218900.0	252.0	7.0	23.0
MC2	16909292.0	620.0	37804.0	357.0	374.0	16.0	979.0	245364.0	186.0	2.0	36.0
MC3	10920280.0	395.0	40524.0	474.0	654.0	34.0	2625.0	378687.0	226.0	7.0	23.0
MC4	16888127.0	743.0	55453.0	618.0	516.0	22.0	3339.0	365487.0	304.0	11.0	33.0
MC5	20669750.0	854.0	58438.0	551.0	638.0	9.0	1711.0	319005.0	591.0	4.0	26.0
MH1	17741083.0	277.0	44318.0	2518.0	1230.0	26.0	1787.0	248948.0	70.0	140.0	35.0
MH2	19891225.0	284.0	38829.0	2964.0	1453.0	26.0	1821.0	188770.0	142.0	144.0	38.0
MH3	26842347.0	479.0	75172.0	4508.0	2960.0	151.0	3596.0	171273.0	105.0	288.0	33.0
MH4	25031946.0	501.0	90675.0	4551.0	2247.0	45.0	1625.0	63006.0	134.0	162.0	24.0
MH5	19664543.0	417.0	44491.0	3081.0	871.0	46.0	370.0	16289.0	101.0	78.0	24.0
MN1	32353120.0	592.0	45468.0	1988.0	715.0	64.0	636.0	202211.0	948.0	7.0	19.0
MN2	19383930.0	447.0	25416.0	1418.0	478.0	55.0	807.0	194866.0	517.0	4.0	15.0
MN3	23851991.0	562.0	26205.0	1364.0	455.0	131.0	743.0	137041.0	599.0	3.0	18.0
MN4	20144617.0	306.0	23854.0	1594.0	1335.0	71.0	713.0	7060.0	629.0	13.0	3.0
MN5	19508801.0	560.0	28433.0	1167.0	385.0	124.0	1995.0	253799.0	534.0	17.0	18.0
OC1	16412691.0	783.0	105112.0	592.0	245.0	12.0	2449.0	435788.0	227.0	6.0	35.0
OC2	18497014.0	683.0	31621.0	639.0	385.0	16.0	2663.0	366289.0	363.0	10.0	39.0
OC3	23350655.0	1088.0	17985.0	512.0	355.0	31.0	79.0	4291.0	561.0	1.0	22.0
OC4	17927526.0	513.0	131475.0	1146.0	691.0	34.0	9456.0	579813.0	735.0	31.0	33.0
OC5	23801518.0	781.0	28420.0	498.0	479.0	17.0	803.0	122390.0	625.0	9.0	22.0
OH1	25192046.0	897.0	55390.0	4675.0	592.0	18.0	2176.0	213969.0	21.0	126.0	107.0
OH2	23910704.0	826.0	40449.0	8139.0	1016.0	10.0	1958.0	44674.0	21.0	184.0	90.0
OH3	25515157.0	774.0	93179.0	3255.0	255.0	37.0	2699.0	211535.0	54.0	57.0	108.0
OH4	15359977.0	702.0	50039.0	1902.0	309.0	9.0	1688.0	296972.0	10.0	47.0	41.0
OH5	16959357.0	534.0	40297.0	4131.0	652.0	5.0	3169.0	513852.0	15.0	106.0	56.0
ON1	16997437.0	489.0	31302.0	1386.0	147.0	13.0	1666.0	427288.0	428.0	11.0	43.0
ON2	17083233.0	477.0	30677.0	1228.0	183.0	12.0	1524.0	301090.0	391.0	9.0	30.0
ON3	15976811.0	494.0	64925.0	1431.0	209.0	14.0	2767.0	434543.0	193.0	3.0	32.0
ON4	29832776.0	827.0	97506.0	2286.0	234.0	35.0	3688.0	477648.0	375.0	38.0	42.0
ON5	28723121.0	581.0	47724.0	2161.0	230.0	40.0	1155.0	200472.0	628.0	14.0	25.0
WC1	19174264.0	464.0	50563.0	618.0	388.0	9.0	1938.0	355866.0	184.0	11.0	21.0
WC2	14497050.0	415.0	63531.0	376.0	267.0	4.0	385.0	124490.0	120.0	7.0	23.0
WC3	23810302.0	647.0	59646.0	681.0	642.0	26.0	1491.0	179425.0	376.0	17.0	44.0
WC4	30753641.0	821.0	44864.0	773.0	766.0	50.0	521.0	69953.0	604.0	5.0	26.0
WC5	37246672.0	814.0	130521.0	980.0	1012.0	24.0	793.0	321216.0	378.0	8.0	38.0
WH1	19472676.0	432.0	127892.0	2714.0	705.0	110.0	602.0	140571.0	41.0	94.0	36.0
WH2	26395599.0	615.0	131096.0	2735.0	837.0	53.0	640.0	170333.0	62.0	117.0	51.0
WH3	18194448.0	374.0	110098.0	2106.0	598.0	80.0	495.0	130373.0	37.0	76.0	34.0
WH4	15756736.0	382.0	104354.0	3398.0	627.0	62.0	1461.0	303640.0	40.0	175.0	39.0
WH5	20183066.0	572.0	165453.0	2779.0	650.0	154.0	1477.0	573626.0	69.0	134.0	60.0
WN1	28996217.0	647.0	66052.0	1773.0	251.0	51.0	1587.0	321571.0	274.0	16.0	49.0
WN2	25347898.0	410.0	46610.0	1498.0	402.0	89.0	1371.0	168190.0	374.0	19.0	32.0
WN3	30520048.0	551.0	53347.0	2011.0	396.0	41.0	702.0	158338.0	293.0	20.0	32.0
WN4	28659490.0	518.0	49631.0	1950.0	323.0	77.0	593.0	164922.0	320.0	12.0	40.0
WN5	38553926.0	708.0	98506.0	2753.0	615.0	83.0	2422.0	374156.0	458.0	79.0	42.0
