Sample	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	HISAT2_mqc-generalstats-hisat2-overall_alignment_rate	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR7443455	0.673737345062936	0.78	30148398.0	78.09220244472029	23543548	49.209312330345625	17967716	82.57							
SRR7443455.sorted									1.423621306252095						
SRR7443455_1										1.0738482465210637	65.57018819068182	55.0	150.0	10.0	36577894.0
SRR7443455_2										4.387989222853198	61.127928350738976	55.0	150.0	10.0	36577894.0
SRR7443456	0.198061341176699	1.06	30687513.0	83.99984058662557	25777462	60.62623038292953	21596916	86.15							
SRR7443456.sorted									0.47306294521110726						
SRR7443456_1										0.847808359814738	56.24991463879863	56.0	150.0	20.0	35675663.0
SRR7443456_2										4.077120136491928	52.484731295112155	56.0	150.0	20.0	35675663.0
SRR7443457	0.221474414996273	0.66	27231267.0	84.76361749895808	23082207	55.14796559331897	17487871	85.87							
SRR7443457.sorted									0.619880436478827						
SRR7443457_1										0.9546797654947641	58.10900002966492	55.0	150.0	20.0	31752866.0
SRR7443457_2										3.937390386534977	54.78528211944303	55.0	150.0	20.0	31752866.0
SRR7443458	0.149553754491807	0.68	30159865.0	85.63431567084268	25827194	59.35469572844914	21401563	83.64							
SRR7443458.sorted									0.5334979094661745						
SRR7443458_1										0.9324616718360521	55.38956348033403	54.0	150.0	20.0	36188054.0
SRR7443458_2										5.726419442172824	49.27021101967352	55.0	150.0	20.0	36188054.0
SRR7443459	0.17597453334324	0.39	28556071.0	85.79367238581246	24499302	57.50216772020064	19427392	84.52							
SRR7443459.sorted									0.7873515175076898						
SRR7443459_1										1.0471376365650689	54.6274924300432	54.0	150.0	20.0	33852666.0
SRR7443459_2										4.546932837333008	50.29875499509656	54.0	150.0	20.0	33852666.0
SRR7443460	0.201851855520506	0.58	28151410.0	73.66978421329517	20739083	50.03940728367534	16518206	85.28							
SRR7443460.sorted									2.093968743383173						
SRR7443460_1										0.963946694058254	62.30735268377538	55.0	150.0	10.0	33069034.0
SRR7443460_2										4.304365104828886	58.1362635228897	55.0	150.0	10.0	33069034.0
SRR7443461	0.177068527063953	0.43	28315106.0	80.15667326126203	22696447	54.11459115556209	17817589	86.0							
SRR7443461.sorted									1.404815561370614						
SRR7443461_1										0.9924283770463928	55.94800616124482	54.0	150.0	10.0	32977254.0
SRR7443461_2										2.3396311287774294	54.1624002553744	54.0	150.0	10.0	32977254.0
SRR7443462	0.167798674366528	0.43	28766895.0	83.86373294719503	24124992	57.20363215081703	19205385	85.68							
SRR7443462.sorted									0.9135113659565084						
SRR7443462_1										0.9648207942900394	53.781529282001685	54.0	150.0	20.0	33632643.0
SRR7443462_2										2.5065928558355246	51.479367884167516	54.0	150.0	20.0	33632643.0
SRR7443463	0.342841372159871	0.42	32358826.0	81.6962148132321	26435936	53.67173524324759	20634477	84.17							
SRR7443463.sorted									0.9320381187799651						
SRR7443463_1										0.9641171332548888	60.90404699599897	55.0	150.0	20.0	38511295.0
SRR7443463_2										4.295560891075375	56.48211956448351	55.0	150.0	20.0	38511295.0
SRR7443464	0.206099737303129	0.69	25107385.0	82.71577466151892	20767768	57.24695469452462	16977142	84.66							
SRR7443464.sorted									0.6122236954656624						
SRR7443464_1										0.9325511991445021	56.298978893436974	56.0	150.0	20.0	29705900.0
SRR7443464_2										4.399977849518109	52.86571478303107	56.0	150.0	20.0	29705900.0
SRR7443465	0.182818835360396	0.68	31483736.0	87.50163894145219	27548785	63.2545132739829	22810396	87.31							
SRR7443465.sorted									0.5937565409726617						
SRR7443465_1										0.9161925828021014	53.6759679471788	55.0	150.0	20.0	36116676.0
SRR7443465_2										2.4119472493352747	52.00334722383538	55.0	150.0	20.0	36116676.0
SRR7443466	0.159412207346122	0.68	24185194.0	85.23143953279846	20613389	59.20637438445509	16568760	86.42							
