Module	Section	Sample Name	Source
QualiMap	rna_genome_results	SRR7443467	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443467.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR7443464	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443464.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR7443466	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443466.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR7443471	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443471.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR7443460	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443460.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR7443472	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443472.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR7443462	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443462.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR7443459	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443459.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR7443455	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443455.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR7443463	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443463.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR7443461	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443461.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR7443465	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443465.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR7443469	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443469.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR7443457	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443457.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR7443468	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443468.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR7443456	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443456.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR7443470	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443470.sorted/rnaseq_qc_results.txt
QualiMap	rna_genome_results	SRR7443458	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443458.sorted/rnaseq_qc_results.txt
QualiMap	rna_coverage_histogram	SRR7443467	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443467.sorted/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SRR7443464	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443464.sorted/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SRR7443466	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443466.sorted/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SRR7443471	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443471.sorted/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SRR7443460	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443460.sorted/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SRR7443472	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443472.sorted/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SRR7443462	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443462.sorted/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SRR7443459	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443459.sorted/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SRR7443455	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443455.sorted/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SRR7443463	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443463.sorted/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SRR7443461	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443461.sorted/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SRR7443465	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443465.sorted/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SRR7443469	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443469.sorted/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SRR7443457	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443457.sorted/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SRR7443468	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443468.sorted/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SRR7443456	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443456.sorted/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SRR7443470	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443470.sorted/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	SRR7443458	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/qualimap/SRR7443458.sorted/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
Preseq	all_sections	SRR7443467	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/preseq/SRR7443467.sorted.ccurve.txt
Preseq	all_sections	SRR7443464	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/preseq/SRR7443464.sorted.ccurve.txt
Preseq	all_sections	SRR7443471	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/preseq/SRR7443471.sorted.ccurve.txt
Preseq	all_sections	SRR7443466	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/preseq/SRR7443466.sorted.ccurve.txt
Preseq	all_sections	SRR7443460	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/preseq/SRR7443460.sorted.ccurve.txt
Preseq	all_sections	SRR7443472	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/preseq/SRR7443472.sorted.ccurve.txt
Preseq	all_sections	SRR7443462	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/preseq/SRR7443462.sorted.ccurve.txt
Preseq	all_sections	SRR7443459	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/preseq/SRR7443459.sorted.ccurve.txt
Preseq	all_sections	SRR7443461	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/preseq/SRR7443461.sorted.ccurve.txt
Preseq	all_sections	SRR7443455	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/preseq/SRR7443455.sorted.ccurve.txt
Preseq	all_sections	SRR7443463	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/preseq/SRR7443463.sorted.ccurve.txt
Preseq	all_sections	SRR7443465	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/preseq/SRR7443465.sorted.ccurve.txt
Preseq	all_sections	SRR7443469	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/preseq/SRR7443469.sorted.ccurve.txt
Preseq	all_sections	SRR7443457	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/preseq/SRR7443457.sorted.ccurve.txt
Preseq	all_sections	SRR7443468	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/preseq/SRR7443468.sorted.ccurve.txt
Preseq	all_sections	SRR7443456	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/preseq/SRR7443456.sorted.ccurve.txt
Preseq	all_sections	SRR7443470	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/preseq/SRR7443470.sorted.ccurve.txt
Preseq	all_sections	SRR7443458	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/preseq/SRR7443458.sorted.ccurve.txt
RSeQC	read_distribution	SRR7443464	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/rseqc/SRR7443464.sorted.read_distribution.txt
RSeQC	read_distribution	SRR7443467	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/rseqc/SRR7443467.sorted.read_distribution.txt
RSeQC	read_distribution	SRR7443466	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/rseqc/SRR7443466.sorted.read_distribution.txt
RSeQC	read_distribution	SRR7443471	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/rseqc/SRR7443471.sorted.read_distribution.txt
RSeQC	read_distribution	SRR7443460	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/rseqc/SRR7443460.sorted.read_distribution.txt
RSeQC	read_distribution	SRR7443472	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/rseqc/SRR7443472.sorted.read_distribution.txt
RSeQC	read_distribution	SRR7443459	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/rseqc/SRR7443459.sorted.read_distribution.txt
RSeQC	read_distribution	SRR7443462	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/rseqc/SRR7443462.sorted.read_distribution.txt
RSeQC	read_distribution	SRR7443461	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/rseqc/SRR7443461.sorted.read_distribution.txt
RSeQC	read_distribution	SRR7443455	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/rseqc/SRR7443455.sorted.read_distribution.txt
RSeQC	read_distribution	SRR7443463	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/rseqc/SRR7443463.sorted.read_distribution.txt
RSeQC	read_distribution	SRR7443465	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/rseqc/SRR7443465.sorted.read_distribution.txt
RSeQC	read_distribution	SRR7443469	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/rseqc/SRR7443469.sorted.read_distribution.txt
RSeQC	read_distribution	SRR7443457	/scratch.global/zhoux379/nf/work/28/5f99c9f9f2c07b16d2e743be20dc7d/rseqc/SRR7443457.sorted.read_distribution.txt
