Sample	Top over-represented sequence	Sum of remaining over-represented sequences
s01_1	0.0	0.0
s01_2	0.0	0.0
s02_1	0.13492744595440062	0.0
s02_2	0.0	0.0
s03_1	0.16024623357930723	0.0
s03_2	0.0	0.0
s04_1	0.25382594434256095	0.0
s04_2	0.15719097511701358	0.0
s05_1	1.1330634080511806	0.0
s05_2	0.0	0.0
s06_1	0.14353514208425847	0.6117139345813046
s06_2	0.20587170988893805	0.6783049731386535
s07_1	0.12563573896953834	0.0
s07_2	0.0	0.0
s08_1	0.3373300253036217	0.0
s08_2	0.23018507778045974	0.0
s09_1	0.13577212613649223	0.0
s09_2	0.0	0.0
s10_1	0.6184848163945066	6.319103142221754
s10_2	0.47710939560559673	3.4141954027720325
s11_1	0.16410432649894016	0.12155314141170523
s11_2	0.10322794535706006	0.0
s12_1	0.13341335529677845	0.0
s12_2	0.0	0.0
s13_1	0.689801147174375	0.0
s13_2	0.4276545566384768	0.0
s14_1	0.0	0.0
s14_2	0.0	0.0
s15_1	0.10747002607587317	0.0
s15_2	0.0	0.0
s16_1	0.18556375899997232	0.0
s16_2	0.1265351314720815	0.0
s17_1	0.0	0.0
s17_2	0.0	0.0
s18_1	0.0	0.0
s18_2	0.0	0.0
s19_1	0.0	0.0
s19_2	0.0	0.0
s20_1	0.7562017104299523	0.0
s20_2	0.2980848146241251	0.0
s21_1	0.0	0.0
s21_2	0.0	0.0
s22_1	0.0	0.0
s22_2	0.0	0.0
s23_1	0.0	0.0
s23_2	0.0	0.0
s24_1	0.27080015758757126	0.0
s24_2	0.18309211398230307	0.0
s25_1	0.24813885016906728	0.0
s25_2	0.16744315687669	0.0
s26_1	0.18934926315143688	1.0583727784804666
s26_2	0.24047831789042445	1.244910190274887
s27_1	0.23534937793095412	0.0
s27_2	0.1613670070748766	0.0
s28_1	0.15791088318118976	0.9367981232511866
s28_2	0.17090778608168508	0.5862435961627313
s29_1	0.1650618904654889	0.0
s29_2	0.11988715608527749	0.0
s30_1	0.23532286537864006	0.0
s30_2	0.16638877506097444	0.0
s31_1	0.29466646783090594	0.0
s31_2	0.21216656373444043	0.0
s32_1	1.6622154909402467	0.21940438197686518
s32_2	0.6809800239211353	0.0
s33_1	0.25715823483595696	0.0
s33_2	0.18085869644959893	0.0
s34_1	0.0	0.0
s34_2	0.0	0.0
s35_1	0.12444412649746843	0.0
s35_2	0.0	0.0
s36_1	0.12346844572530828	0.0
s36_2	0.0	0.0
s37_1	0.10152465194770835	0.0
s37_2	0.0	0.0
s38_1	0.13533533930102554	0.0
s38_2	0.0	0.0
s39_1	0.1750490473714321	0.0
s39_2	0.1273587055485754	0.0
s40_1	0.13875658154659384	0.0
s40_2	0.0	0.0
s41_1	0.0	0.0
s41_2	0.0	0.0
s42_1	0.1031756318236961	0.0
s42_2	0.0	0.0
s43_1	0.0	0.0
s43_2	0.0	0.0
s44_1	0.49811535542014695	0.0
s44_2	0.0	0.0
s45_1	0.0	0.0
s45_2	0.0	0.0
s46_1	0.1449398971147374	0.0
s46_2	0.0	0.0
s47_1	0.0	0.0
s47_2	0.0	0.0
s48_1	0.14716919741179077	0.0
s48_2	0.0	0.0
s49_1	0.21488092681132925	0.0
s49_2	0.12619810165796452	0.0
s50_1	0.10723749186660034	0.0
s50_2	0.0	0.0
s51_1	0.40194873929937275	0.0
s51_2	0.23661885522647522	0.0
s52_1	0.2610708628389755	0.0
s52_2	0.15153055030471188	0.0
s53_1	0.11261131123562489	0.0
s53_2	0.0	0.0
s54_1	0.8711989599044762	0.0
s54_2	0.0	0.0
s55_1	0.0	0.0
s55_2	0.0	0.0
s56_1	0.0	0.0
s56_2	0.0	0.0
s57_1	0.27067062944134807	0.0
s57_2	0.15822987220162202	0.0
s58_1	0.13960890699854903	0.0
s58_2	0.0	0.0
s59_1	0.0	0.0
s59_2	0.0	0.0
s60_1	0.14526990644526372	0.0
s60_2	0.0	0.0
s61_1	0.1888946246460739	0.12541491770371435
s61_2	0.11094326265861988	0.0
s62_1	0.1727274251245318	0.0
s62_2	0.1017730268820216	0.0
s63_1	1.0196367710845564	0.0
s63_2	0.5936505756811228	0.0
s64_1	0.0	0.0
s64_2	0.0	0.0
s65_1	0.0	0.0
s65_2	0.0	0.0
s66_1	0.0	0.0
s66_2	0.0	0.0
s67_1	0.0	0.0
s67_2	0.0	0.0
s68_1	0.0	0.0
s68_2	0.0	0.0
s69_1	0.0	0.0
s69_2	0.0	0.0
s70_1	0.0	0.0
s70_2	0.0	0.0
s71_1	0.20654997218828128	0.0
s71_2	0.0	0.0
s72_1	0.0	0.0
s72_2	0.0	0.0
s73_1	0.17496064505064785	0.0
s73_2	0.0	0.0
s74_1	0.16109845175667434	0.0
s74_2	0.0	0.0
s75_1	0.0	0.0
s75_2	0.0	0.0
s76_1	0.0	0.0
s76_2	0.0	0.0
